11:29, 98
11:30, 108
11:30, 110
11:30, 103
11:31, 104
11:31, 111
11:32, 115
11:32, 116
11:32, 113
11:33, 110
11:33, 98
11:34, 98
11:35, 121
11:35, 116
11:35, 99
11:37, 108
11:37, 145
11:38, 144
11:38, 135
11:39, 130
11:39, 121
11:39, 114
11:40, 111
11:40, 112
11:41, 114
11:41, 111
11:42, 115
11:42, 111
11:42, 112
11:43, 113
11:43, 110
11:44, 115
11:44, 113
11:44, 111
11:45, 115
11:45, 108
11:45, 105
11:46, 105
11:46, 115
11:47, 123
11:47, 113
11:47, 114
11:48, 134
11:49, 124
11:49, 115
11:49, 113
11:50, 112
11:50, 111
11:51, 108
11:51, 110
11:51, 110
11:52, 111
11:52, 110
11:53, 105
11:53, 109
11:54, 116
11:54, 116
11:54, 110
