1:25, 16
1:25, 16
1:26, 18
1:26, 21
1:27, 33
1:28, 32
1:28, 34
1:29, 24
1:29, 14
1:30, 24
1:30, 16
1:31, 18
1:31, 16
1:31, 12
1:32, 13
1:32, 10
1:33, 18
1:33, 16
1:34, 12
1:34, 15
1:34, 16
1:35, 13
1:35, 15
1:36, 16
1:37, 16
1:37, 13
1:37, 15
1:38, 15
1:38, 16
1:39, 14
1:39, 13
1:44, 18
1:45, 14
1:45, 18
1:46, 22
1:46, 25
1:47, 25
1:47, 26
1:48, 38
1:48, 28
1:48, 26
1:49, 23
1:49, 26
1:50, 23
1:50, 19
1:51, 20
1:51, 16
1:52, 17
1:52, 21
1:53, 18
1:53, 18
1:53, 16
1:54, 19
1:54, 19
1:54, 17
1:55, 17
1:55, 20
1:56, 18
